Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79
1,13,63,54,4,51,16,79,97,6,36,33,94,97,53,0,39,71,58,81,40,2,30,61,7,41,44,89,78,5,50,87,76,93,10,75,92,25,84,8,28,20,69,87,80,72,41,49,98,8,67,64,80,2,34,65,9,3,60,38,61,39,52,1,80,55,71,95,34,28,27,65,33,99,9,99,27,6,81,97,0,56
1,14,91,54,4,51,16,79,97,6,36,33,94,97,53,56,79,71,58,81,40,32,10,61,7,81,44,89,78,5,50,87,76,93,10,75,92,25,84,8,28,20,69,87,80,32,41,19,98,8,67,64,40,2,34,85,9,3,60,38,61,39,52,11,80,55,71,95,34,28,27,65,33,99,9,99,27,56,89,97,0,56
1,15,91,54,4,51,16,39,97,6,36,33,94,97,53,0,79,71,58,81,40,32,10,83,7,81,44,89,78,5,50,87,76,93,10,85,92,25,89,8,28,20,69,30,80,32,41,19,98,8,67,64,40,2,24,85,7,3,60,38,61,39,52,51,80,55,71,95,34,28,27,65,37,99,9,99,27,56,51,97,0,56
1,16,91,54,4,51,16,39,97,33,36,33,24,97,53,0,79,71,58,81,40,32,10,83,7,81,44,9,78,5,50,87,76,93,10,85,95,25,89,18,28,20,69,30,80,32,71,19,98,8,67,64,40,2,44,85,7,63,60,38,61,49,52,51,80,55,71,45,34,28,17,65,37,94,9,99,7,56,59,97,0,56
1,17,91,54,4,51,16,39,97,33,36,33,24,97,53,0,79,71,88,81,40,60,10,83,77,81,44,9,78,5,50,87,76,93,20,85,95,25,89,18,28,20,29,30,80,32,71,19,98,8,67,64,40,2,44,85,99,63,60,38,90,49,52,51,80,55,81,45,34,28,17,65,27,94,9,99,7,56,59,97,0,56
1,18,91,54,4,51,16,39,97,33,36,33,54,77,53,96,79,71,88,81,40,60,10,83,77,81,44,9,78,5,50,57,76,43,20,85,95,25,89,28,28,20,29,30,20,32,71,19,18,8,67,64,50,2,44,25,99,63,60,38,90,49,62,51,80,45,81,45,34,28,17,65,23,99,39,59,7,56,59,97,0,56
1,19,91,54,4,51,16,59,97,36,36,33,54,77,53,96,79,71,88,81,40,60,80,83,77,21,44,9,78,5,50,57,76,43,20,85,92,25,89,28,48,20,29,30,20,32,71,19,18,8,67,64,50,2,44,25,99,63,60,38,90,49,62,51,80,45,81,45,34,28,17,95,23,99,39,59,7,56,41,97,0,56
1,20,91,54,4,51,16,59,97,36,36,33,54,77,53,96,79,71,88,81,10,60,80,83,77,21,44,9,78,5,50,57,76,43,20,85,92,25,89,28,48,20,29,30,20,32,71,19,18,8,67,64,50,2,44,25,99,63,60,38,90,49,62,51,80,45,81,45,34,28,17,95,23,99,39,59,7,56,41,97,0,56
1,21,91,54,4,51,16,59,97,36,36,33,54,77,53,90,79,71,88,81,10,60,80,83,77,21,44,9,78,5,50,57,76,43,20,85,92,25,89,28,48,20,29,30,20,32,71,19,18,8,67,64,50,2,44,25,99,63,60,38,90,49,62,51,80,45,81,45,34,28,17,95,23,99,39,59,7,56,41,97,0,56
1,22,91,54,4,51,16,59,97,36,36,33,54,77,53,90,79,71,88,81,10,60,80,83,77,21,44,9,78,5,50,57,76,43,20,85,92,25,84,28,48,20,29,30,20,32,71,19,18,8,67,64,50,2,44,25,99,63,60,38,90,49,62,51,80,45,81,45,34,28,17,95,23,99,39,59,7,56,41,97,0,56
