Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109
0,34,30,27,41,4,4,93,21,92,55,84,99,1,14,60,17,90,51,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,90,78,61,77,30,72,59,5,77,23,66,12,14,87,87,0,57,87,96,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,27,92,14,17,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,62,43,51,62,92,60,36,72,1,39,73,97,91,52,24,86,49,12,51,54,98,83,59
0,35,30,27,41,4,4,93,21,92,55,84,99,1,14,60,17,90,51,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,83,78,61,77,30,72,59,5,77,27,66,2,76,87,87,0,57,87,96,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,77,92,14,17,33,33,85,96,71,98,35,92,81,59,36,26,2,18,10,62,43,51,62,92,60,36,72,1,39,73,97,91,52,24,86,49,12,54,56,98,83,39
0,36,30,27,41,4,4,93,21,92,55,84,99,1,14,60,54,90,57,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,83,78,61,77,30,72,59,5,77,27,66,2,76,87,87,0,57,87,96,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,77,92,14,17,33,33,85,96,71,98,35,92,81,59,36,26,2,18,10,68,43,51,62,92,60,36,72,1,39,73,97,91,52,24,86,49,12,54,56,98,83,39
0,37,30,27,41,4,4,93,21,92,55,84,99,1,14,60,54,90,57,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,83,78,61,77,30,72,59,5,77,27,66,2,76,87,87,0,57,87,96,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,77,92,14,17,33,33,85,96,71,98,35,92,81,59,36,26,2,18,10,68,43,51,62,92,60,36,74,1,39,73,97,91,52,24,86,49,12,54,56,98,83,39
0,38,30,27,41,4,4,93,21,92,55,84,99,1,14,60,54,90,57,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,83,78,61,77,30,72,59,5,77,27,66,2,76,87,87,0,57,87,91,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,77,92,14,17,33,33,85,96,71,98,35,92,81,59,36,26,2,18,10,68,43,51,62,92,60,36,74,1,39,73,97,91,52,24,86,49,12,54,56,96,83,39
0,39,30,27,41,4,4,93,21,92,55,84,99,1,14,60,54,90,57,24,82,53,39,29,86,78,78,89,90,11,59,44,58,27,61,80,83,78,31,77,30,72,59,5,77,27,66,2,76,87,87,0,57,87,91,27,57,72,1,50,74,82,17,33,17,76,90,59,95,79,77,92,14,17,33,33,85,96,71,98,35,92,81,59,36,26,2,18,10,68,43,51,62,91,60,36,74,1,39,73,97,91,52,24,86,49,12,51,54,96,83,39
1,0,16,66,1,81,26,38,92,96,7,94,62,93,65,47,83,40,4,72,68,91,52,83,87,87,99,82,8,14,1,46,70,7,7,87,20,62,36,63,73,88,19,70,43,8,86,87,15,19,44,8,93,49,63,41,7,44,94,26,28,22,25,13,35,4,13,86,96,29,7,19,79,8,85,58,98,22,73,93,34,53,36,80,79,68,86,5,79,47,35,22,23,67,48,82,54,15,51,84,84,24,77,5,1,77,5,56,89,95,22,64
1,1,18,61,4,82,28,26,58,90,77,44,64,66,63,79,80,40,4,72,68,91,52,83,87,87,99,82,8,14,1,46,70,7,7,87,20,62,36,63,73,88,19,70,43,8,86,87,15,56,46,51,90,45,92,47,9,49,22,62,21,24,92,16,33,4,13,86,96,29,7,19,79,8,85,58,98,22,73,93,34,25,30,12,76,68,81,34,69,47,35,22,23,67,48,82,54,18,4,89,58,24,77,5,1,60,65,56,89,95,22,63
1,2,18,61,4,82,28,26,58,90,77,44,64,66,63,79,80,32,3,39,34,93,21,23,4,80,63,3,94,15,5,44,35,7,7,87,20,62,36,63,73,88,19,70,43,8,86,87,15,56,46,51,90,45,92,47,9,49,22,62,21,24,92,16,33,3,10,87,94,35,5,42,61,8,85,58,98,22,73,93,34,25,30,12,76,68,81,34,69,40,97,10,80,67,48,82,54,18,4,89,58,79,69,5,1,60,65,69,89,95,23,63
1,3,18,69,7,86,25,56,5,99,27,45,64,77,84,28,86,32,3,39,34,93,21,23,4,80,63,3,94,15,5,44,35,67,90,89,29,25,74,62,79,88,19,70,43,8,86,87,15,56,46,51,90,45,92,47,9,49,1,68,27,29,67,16,38,3,10,87,94,35,5,42,61,9,88,51,29,22,73,93,34,25,30,12,76,65,85,34,66,40,97,10,80,38,46,82,54,18,4,89,18,79,69,0,1,60,66,69,83,95,23,63
