Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49
2,17,10,14,83,82,1,38,67,46,85,28,72,24,40,90,15,1,33,3,81,42,26,15,26,70,59,28,7,51,11,61,85,43,81,31,97,71,90,83,13,96,26,22,50,89,24,7,1,51,32,73
2,18,10,14,83,82,1,38,67,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,7,51,11,67,85,43,41,31,97,76,90,83,13,96,26,22,50,83,24,7,1,51,32,73
2,19,14,14,83,82,1,38,67,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,11,67,85,43,41,31,97,76,90,89,13,96,26,22,50,33,24,7,1,51,32,63
2,20,14,14,83,82,1,38,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,89,13,96,26,22,50,33,24,7,51,51,32,63
2,21,14,14,83,81,1,88,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,16,67,85,13,41,31,97,76,90,89,13,96,26,22,50,33,24,7,51,51,32,63
2,22,14,14,83,81,1,88,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,16,67,85,13,41,31,97,76,90,89,13,96,26,22,50,33,24,7,51,51,32,63
2,23,14,14,83,81,1,88,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,16,67,85,13,41,31,97,76,90,89,13,96,26,22,50,39,24,7,51,51,32,63
2,24,14,14,83,81,1,88,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,16,67,85,13,41,31,97,76,90,89,13,96,26,22,50,39,24,7,51,51,32,63
2,25,14,14,83,81,1,88,77,46,85,48,72,24,40,90,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,89,13,96,26,22,50,39,24,7,51,51,32,63
2,26,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,89,13,96,26,22,50,39,24,7,51,51,32,63
2,27,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,80,13,96,26,22,50,39,24,7,51,51,32,63
2,28,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,80,13,96,26,22,50,39,24,7,51,51,32,63
2,29,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,13,67,85,13,41,31,97,76,90,80,13,96,26,22,50,39,24,7,51,51,32,63
2,30,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,61,85,13,41,31,97,76,90,80,13,96,26,22,50,39,24,7,51,51,32,63
2,31,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,61,85,13,41,31,97,76,91,80,13,96,26,22,50,39,24,7,51,51,32,63
2,32,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,61,85,13,41,31,97,76,91,80,13,96,26,22,50,39,24,7,51,51,32,63
2,33,14,14,83,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,39,24,7,51,51,32,63
2,34,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,39,24,7,51,51,32,63
2,35,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,33,24,7,51,51,32,63
2,36,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,33,24,7,51,51,32,63
2,37,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,33,24,7,51,51,32,63
2,38,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,33,24,7,51,51,32,63
2,39,14,17,86,81,1,88,77,46,85,48,72,24,40,91,55,1,33,3,81,42,26,15,26,70,59,28,27,51,14,67,85,13,41,31,97,76,91,80,13,96,26,22,50,33,24,7,51,51,32,63
3,0,12,65,69,60,93,4,57,28,25,6,87,79,45,51,96,71,87,18,9,29,66,34,67,2,5,31,29,97,9,71,39,20,61,87,67,89,82,83,38,56,93,56,10,99,71,85,78,69,78,83
3,1,42,61,73,65,93,3,97,52,25,86,87,71,48,53,96,51,88,16,8,20,96,39,22,18,5,57,69,89,4,71,78,55,61,23,23,27,81,83,32,18,28,51,18,94,72,5,87,79,46,32
3,2,52,4,81,60,93,2,17,16,5,76,84,76,47,51,21,11,85,10,8,20,83,33,91,47,5,1,63,83,26,81,17,67,99,59,97,25,88,89,31,31,20,50,18,97,72,71,97,50,46,32
3,3,52,4,81,65,25,1,17,12,95,16,87,39,68,53,13,11,88,10,78,20,83,33,91,47,5,1,63,9,74,41,18,40,94,60,93,25,88,89,31,48,78,55,18,97,72,45,37,50,46,52
