Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89
1,7,30,26,44,51,68,37,19,83,51,55,56,5,23,89,29,6,88,35,39,50,47,59,5,45,27,64,64,74,73,69,95,7,88,24,76,79,79,74,33,41,19,60,7,81,83,72,43,76,4,96,66,72,52,17,39,55,78,21,34,27,38,26,16,28,8,0,49,80,61,39,46,75,59,74,68,53,2,90,24,77,85,95,8,12,23,51,96,45,80,90
1,8,30,26,44,51,87,37,79,23,25,55,56,9,23,89,29,6,98,35,39,50,47,59,5,45,27,64,64,74,73,69,95,7,88,24,76,49,81,72,33,35,19,80,45,81,83,72,43,72,34,0,88,72,62,11,49,55,78,21,34,27,38,26,16,78,58,50,19,80,61,39,6,65,59,74,68,53,2,92,24,77,85,95,8,12,29,51,96,44,80,90
1,9,30,26,44,51,87,37,79,23,25,55,56,9,23,89,29,6,98,35,39,50,47,59,5,45,27,64,64,74,73,69,95,77,48,24,99,49,81,72,33,35,19,80,45,81,83,72,43,72,34,0,88,72,62,11,49,55,78,21,34,27,38,23,16,78,58,50,19,80,61,39,6,65,59,74,68,53,4,92,24,77,85,95,8,12,29,51,96,44,80,96
1,10,30,26,44,51,87,37,79,23,25,55,56,9,23,89,29,6,98,35,39,50,47,59,2,45,37,64,64,74,73,69,95,77,48,24,99,49,88,72,33,35,19,80,45,81,83,72,43,72,34,0,88,72,62,11,49,55,78,21,37,27,38,23,16,78,55,91,19,80,61,39,6,65,59,94,68,53,4,92,24,77,85,95,8,12,29,51,76,44,80,96
1,11,39,26,44,51,85,37,79,43,25,25,21,9,23,39,29,6,68,35,99,50,47,59,2,45,37,64,64,74,33,69,95,77,48,24,99,49,88,72,33,35,11,84,45,31,83,75,43,32,34,0,86,72,52,1,59,55,78,21,37,27,98,23,16,78,55,91,19,81,61,19,16,65,59,94,68,61,4,92,24,17,85,74,8,12,29,51,76,44,80,90
1,12,39,26,44,51,85,37,79,43,25,25,21,9,23,39,29,26,68,35,99,53,47,59,2,45,38,64,64,74,33,69,95,77,48,24,99,49,88,72,33,35,11,84,45,31,83,75,43,32,34,0,86,22,52,1,59,5,78,21,37,27,98,23,16,78,55,91,19,81,61,19,16,65,59,47,68,61,4,92,24,17,85,74,9,12,29,51,76,44,80,90
1,13,39,26,44,18,85,35,9,43,25,25,21,9,23,39,29,26,68,35,99,53,47,52,2,45,38,64,64,74,33,19,95,77,48,74,99,49,48,72,33,35,11,84,45,31,83,75,49,32,94,70,86,22,52,1,59,5,58,21,37,20,98,53,16,78,55,91,19,81,61,19,16,65,59,47,68,61,74,94,24,47,85,74,9,12,29,51,76,85,80,90
1,14,39,26,44,18,85,35,9,43,25,25,21,9,23,39,29,26,68,35,99,53,47,52,2,45,38,64,64,74,33,19,95,77,48,74,99,49,48,72,33,35,11,84,45,31,83,75,49,32,94,70,86,22,52,1,59,5,58,21,37,20,98,55,86,78,55,91,19,81,61,19,16,65,59,47,68,61,44,92,24,45,85,74,9,18,29,51,76,84,80,90
1,15,39,26,44,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,53,47,52,2,55,38,64,64,74,33,19,95,77,48,74,99,49,48,72,33,35,11,84,45,31,83,75,49,32,94,40,86,22,72,1,59,5,58,21,37,20,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,61,44,92,24,45,85,44,9,18,29,51,76,84,80,96
1,16,39,26,44,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,53,47,52,2,55,38,64,64,74,33,19,95,77,48,74,99,49,48,72,33,35,11,84,45,31,83,75,49,32,94,40,86,22,72,1,59,5,58,21,37,30,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,61,84,92,24,45,85,44,9,18,29,51,76,84,80,96
1,17,39,26,44,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,53,47,52,2,55,38,64,64,74,33,19,95,77,48,74,99,49,58,72,93,55,19,84,45,1,83,75,49,32,94,40,86,22,72,1,59,5,58,21,37,30,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,61,84,94,24,45,85,44,9,18,29,51,76,84,80,96
1,18,39,26,44,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,43,47,52,2,55,38,64,64,74,33,19,95,77,48,74,99,49,58,72,93,55,19,84,45,1,83,75,49,32,94,40,86,22,72,1,59,5,58,21,37,30,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,21,84,94,24,45,85,44,19,12,29,51,76,85,80,96
1,19,39,26,44,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,43,47,52,2,58,88,64,64,74,33,19,95,77,48,74,99,49,58,72,93,55,19,84,45,1,83,72,49,32,94,40,86,22,72,1,89,5,58,21,37,30,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,21,84,94,24,45,85,44,19,12,29,51,76,85,10,96
1,20,39,36,84,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,43,47,52,2,58,88,64,14,74,33,19,95,77,48,74,99,49,58,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,1,89,5,58,21,7,30,98,55,86,78,55,91,19,81,61,59,16,65,59,47,68,21,84,94,24,45,85,44,19,82,29,51,76,85,10,90
1,21,39,36,84,11,95,35,99,43,25,25,21,9,23,39,29,26,68,35,99,43,47,52,2,58,88,64,14,74,33,19,95,77,48,74,99,9,98,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,1,9,5,58,21,7,30,98,55,86,78,55,91,69,81,61,59,16,15,59,47,68,21,84,94,24,45,85,40,19,82,29,51,76,85,10,96
1,22,39,46,84,18,95,35,99,43,25,25,21,9,23,39,29,66,68,35,99,43,47,52,2,58,88,64,14,74,33,19,95,77,48,74,99,9,98,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,1,9,5,58,21,7,30,98,55,76,98,55,91,69,81,61,59,16,15,59,47,68,21,84,94,24,85,85,44,19,82,29,51,76,85,10,96
1,23,39,46,84,18,95,35,99,43,25,25,21,9,23,39,29,66,68,35,99,43,47,52,2,58,88,64,14,74,43,19,95,77,48,74,99,9,98,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,1,9,5,58,21,7,30,98,55,76,98,55,91,69,81,61,59,16,15,59,47,68,21,84,94,44,85,85,20,19,82,29,51,76,84,10,96
1,24,39,46,84,18,95,35,29,43,25,25,21,9,23,39,29,66,68,35,99,43,47,52,2,58,88,64,14,74,43,19,95,77,48,74,99,9,98,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,61,9,5,58,21,7,30,98,55,76,98,55,91,69,81,61,59,16,15,49,47,68,21,84,94,44,85,85,28,79,82,29,51,76,84,10,96
1,25,39,46,84,18,95,35,29,43,25,25,21,9,23,39,29,66,68,35,99,43,47,52,2,58,88,64,14,74,43,19,95,77,48,74,99,9,98,72,93,55,81,84,45,1,83,72,49,32,94,40,86,22,72,61,9,5,58,21,7,30,98,55,76,98,55,91,69,81,61,59,16,15,49,47,68,21,84,94,44,85,85,28,79,82,29,51,76,84,10,90
