Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69
1,22,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,31,66,23,24,8,15,2,74,26,74,62,36,57,78,6,67,40,98
1,23,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,40,98
1,24,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,40,98
1,25,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,40,98
1,26,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,40,98
1,27,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,40,98
1,28,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
1,29,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
1,30,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
1,31,44,71,78,4,2,84,28,78,87,11,91,19,0,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,51,32,48,86,8,73,5,0,29,31,66,23,24,8,13,2,74,26,74,62,36,57,78,6,67,43,98
