Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
1,26,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,5,36,98,76,10,98,94,92,83,59,47,66,36,4,91,90,22,7,68,38
1,27,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,5,36,98,76,10,98,94,92,83,59,47,66,36,4,91,90,22,7,64,31
1,28,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,98,76,10,98,94,92,83,59,43,68,36,4,91,90,22,7,64,38
1,29,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,98,76,10,98,94,92,83,59,43,68,36,4,91,90,22,7,64,38
1,30,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,43,66,36,4,91,90,22,7,68,31
1,31,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,43,66,36,4,91,90,22,7,63,38
1,32,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,43,66,36,4,91,90,22,7,64,38
1,33,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,66,36,4,93,90,22,7,63,38
1,34,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,66,36,4,93,90,22,7,63,38
1,35,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,66,36,4,93,90,22,7,63,31
1,36,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,66,36,4,93,90,22,7,63,31
1,37,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,68,36,4,93,90,22,7,64,38
1,38,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,68,36,4,93,90,22,7,64,31
1,39,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,6,36,92,76,10,98,94,92,83,59,47,68,36,4,93,90,22,7,64,31
2,0,2,95,89,32,13,38,41,74,33,11,99,10,69,45,43,38,14,3,63,97,51,88,98,98,36,96,61,9,32,8,64,6,76,20,71,68,6,88,51,59
2,1,2,85,80,52,8,36,17,76,34,94,93,80,6,25,1,10,11,3,63,97,51,58,99,94,36,94,56,9,32,8,64,8,76,25,78,68,86,82,41,79
2,2,7,83,80,82,95,36,83,71,31,35,96,39,16,95,90,88,44,63,60,67,58,2,95,96,91,96,81,79,38,58,64,0,78,28,77,38,86,82,71,73
2,3,7,7,80,62,98,33,21,72,39,35,93,30,46,75,71,50,48,33,65,5,68,98,99,46,13,91,36,77,33,86,62,8,70,26,74,28,66,82,71,89
2,4,7,7,80,62,98,33,21,72,39,35,96,59,26,75,71,68,54,33,65,5,68,98,99,46,13,90,30,77,38,86,62,8,70,24,78,28,66,52,71,89
2,5,7,7,80,62,98,33,68,72,35,35,96,59,26,15,61,60,58,33,65,5,68,91,95,46,58,90,30,74,58,86,62,8,70,24,74,28,16,52,71,89
2,6,7,75,80,62,95,33,68,72,35,35,96,40,36,15,61,60,58,33,65,45,68,41,95,56,51,90,30,59,58,96,34,8,78,24,74,78,36,57,71,89
2,7,7,74,30,62,98,33,98,52,35,35,96,40,36,15,61,60,58,93,0,45,68,42,95,56,78,90,30,59,58,16,34,8,78,24,74,78,36,57,61,89
2,8,7,74,30,62,98,33,98,52,35,68,96,40,36,15,61,90,58,93,0,45,68,42,95,56,78,90,30,59,74,16,34,8,78,54,74,78,36,52,61,89
2,9,7,43,40,62,98,33,98,52,35,64,96,40,36,15,61,90,78,93,0,44,68,42,95,16,78,90,30,59,74,26,32,98,70,56,72,74,26,52,61,89
2,10,7,47,0,62,98,33,98,6,35,64,96,94,76,15,61,90,78,23,0,44,68,42,95,16,78,90,30,59,64,26,32,98,70,54,74,8,26,57,61,89
2,11,7,47,90,22,95,33,98,6,35,64,96,94,76,15,61,90,78,23,5,44,68,42,95,16,78,90,30,59,64,26,34,98,70,54,74,8,26,57,61,89
2,12,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,44,68,41,95,16,78,90,30,59,63,26,34,98,78,54,74,8,26,52,61,89
2,13,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,44,68,41,95,16,78,90,30,59,68,26,34,98,78,54,78,8,26,52,61,89
2,14,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,44,68,41,95,16,78,90,30,59,68,26,34,98,78,54,78,8,26,52,61,89
2,15,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,44,68,41,95,16,78,90,30,59,68,26,34,98,70,54,78,8,26,52,61,89
2,16,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,5,44,68,41,95,16,78,90,30,59,68,26,34,98,70,54,74,8,26,52,61,89
2,17,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,68,26,34,98,70,54,74,8,26,52,61,89
2,18,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,68,26,34,98,70,54,74,8,26,57,61,89
2,19,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,68,26,34,98,70,54,74,8,26,57,61,89
2,20,7,42,10,22,95,33,98,6,35,64,96,94,76,15,61,90,38,23,0,44,68,41,95,16,78,90,30,59,68,26,34,98,78,56,74,8,26,57,61,89
